epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
65,9544.12,1.18747,1.08525,0.05993,0.07195,0.61223,0.49176,0.54727,0.35079,1.54428,1.88752,0.02461,0.111,0.0007888,0.0007888,0.0007888
66,9693.97,1.219,1.05327,0.05584,0.07814,0.74669,0.49383,0.55238,0.34692,1.55556,1.97159,0.02424,0.11122,0.0007855,0.0007855,0.0007855
67,9842.8,1.19468,1.0352,0.05838,0.07976,0.80089,0.46372,0.54347,0.33703,1.54897,2.02069,0.02447,0.11834,0.0007822,0.0007822,0.0007822
68,9994.54,1.20285,1.06979,0.05927,0.07225,0.70106,0.49545,0.51793,0.30928,1.58578,2.1551,0.02506,0.11921,0.0007789,0.0007789,0.0007789
69,10145.1,1.23068,1.13157,0.06145,0.07528,0.65418,0.52199,0.53661,0.33273,1.56453,2.10334,0.02495,0.11738,0.0007756,0.0007756,0.0007756
70,10300.5,1.22588,1.0775,0.06182,0.07911,0.64773,0.57914,0.55697,0.34214,1.55566,1.96804,0.02389,0.13595,0.0007723,0.0007723,0.0007723
71,10450.5,1.24061,1.09259,0.05736,0.07746,0.54592,0.52284,0.52465,0.32241,1.5619,2.00655,0.02356,0.13239,0.000769,0.000769,0.000769
72,10595.6,1.17017,1.00274,0.05775,0.07183,0.5587,0.53409,0.53896,0.32458,1.54575,1.9401,0.02508,0.13953,0.0007657,0.0007657,0.0007657
73,10748.4,1.20842,1.12172,0.06565,0.06815,0.69984,0.502,0.55551,0.34203,1.53118,1.90694,0.02504,0.13453,0.0007624,0.0007624,0.0007624
74,10896.1,1.15977,1.02709,0.05915,0.0691,0.71285,0.54165,0.58649,0.36464,1.55509,1.85487,0.02532,0.12498,0.0007591,0.0007591,0.0007591
75,11073.7,1.20508,1.11917,0.0601,0.06723,0.73432,0.56383,0.62508,0.39862,1.50227,1.70091,0.02473,0.11589,0.0007558,0.0007558,0.0007558
76,11266.5,1.18251,1.05032,0.06012,0.07563,0.83958,0.5052,0.6209,0.40289,1.51362,1.76091,0.02467,0.11899,0.0007525,0.0007525,0.0007525
77,11460,1.14401,1.02921,0.06256,0.0649,0.81515,0.52584,0.61271,0.38909,1.55933,1.80918,0.02424,0.11789,0.0007492,0.0007492,0.0007492
78,11649,1.1565,1.047,0.06328,0.06642,0.74415,0.54752,0.60686,0.39923,1.51352,1.78847,0.02413,0.1199,0.0007459,0.0007459,0.0007459
79,11839.6,1.18531,1.10379,0.06374,0.07458,0.78808,0.55084,0.62697,0.41076,1.47368,1.73429,0.02325,0.12183,0.0007426,0.0007426,0.0007426
80,12011.9,1.13102,0.97479,0.06486,0.06957,0.7607,0.5593,0.63493,0.3948,1.56644,1.67605,0.02406,0.12017,0.0007393,0.0007393,0.0007393
81,12181.7,1.17575,1.05197,0.05814,0.06622,0.65356,0.59176,0.60822,0.37637,1.59653,1.72849,0.02404,0.11605,0.000736,0.000736,0.000736
82,12338.5,1.15853,0.99167,0.05814,0.06981,0.76776,0.52416,0.5972,0.36763,1.56703,1.76035,0.02539,0.10719,0.0007327,0.0007327,0.0007327
83,12514.4,1.14909,0.94374,0.06158,0.06561,0.7237,0.57492,0.60023,0.35337,1.5944,1.77715,0.02543,0.1055,0.0007294,0.0007294,0.0007294
84,12676.4,1.15478,0.99622,0.057,0.07033,0.70939,0.58442,0.58631,0.35625,1.6402,1.84975,0.02483,0.11156,0.0007261,0.0007261,0.0007261
85,12837,1.16968,0.99571,0.06172,0.06918,0.69337,0.60414,0.59394,0.36923,1.60993,1.87953,0.02549,0.11462,0.0007228,0.0007228,0.0007228
86,12990.5,1.18956,1.03434,0.06075,0.06623,0.65487,0.6073,0.59477,0.37316,1.53289,1.8747,0.02408,0.1141,0.0007195,0.0007195,0.0007195
87,13143.2,1.14371,0.94727,0.06194,0.06527,0.59754,0.52538,0.58047,0.37772,1.50661,1.91861,0.02336,0.10715,0.0007162,0.0007162,0.0007162
88,13296.4,1.16102,1.02856,0.05527,0.06576,0.67404,0.50443,0.59039,0.38227,1.49874,1.89777,0.02327,0.10393,0.0007129,0.0007129,0.0007129
89,13446.9,1.17118,1.02656,0.05476,0.07231,0.76953,0.51982,0.60715,0.40116,1.45508,1.77468,0.02357,0.10456,0.0007096,0.0007096,0.0007096
90,13596.6,1.17072,1.06149,0.06244,0.06107,0.74425,0.57099,0.62495,0.41402,1.40892,1.72759,0.02449,0.0941,0.0007063,0.0007063,0.0007063
91,13748.1,1.15517,0.9288,0.05745,0.07008,0.69328,0.59486,0.65431,0.40069,1.5057,1.725,0.02501,0.1023,0.000703,0.000703,0.000703
92,13907.5,1.12765,0.89841,0.05665,0.06166,0.88526,0.53243,0.65304,0.39851,1.50722,1.74652,0.02517,0.09879,0.0006997,0.0006997,0.0006997
93,14066.1,1.13528,0.97384,0.05775,0.06945,0.86108,0.51138,0.64553,0.40495,1.50339,1.70055,0.02558,0.09519,0.0006964,0.0006964,0.0006964
94,14219.9,1.1653,1.00968,0.06039,0.07057,0.76195,0.54798,0.62432,0.39977,1.52133,1.69388,0.02644,0.09946,0.0006931,0.0006931,0.0006931
95,14375,1.13858,0.95822,0.06205,0.06142,0.77849,0.51267,0.62237,0.3888,1.58875,1.70568,0.02775,0.1092,0.0006898,0.0006898,0.0006898
96,14526.3,1.17978,0.99527,0.05952,0.06595,0.76541,0.53648,0.6251,0.39986,1.56344,1.7298,0.02723,0.10569,0.0006865,0.0006865,0.0006865
97,14675.7,1.18077,1.05913,0.0602,0.06877,0.6624,0.57614,0.62461,0.3851,1.58963,1.7798,0.02618,0.11775,0.0006832,0.0006832,0.0006832
