epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
48,183.534,1.31324,1.21013,0.06111,0.08293,0.79352,0.3987,0.51759,0.30754,1.67263,2.05217,0.02782,0.07963,0.0008449,0.0008449,0.0008449
49,186.744,1.25394,1.13902,0.06364,0.08613,0.553,0.51943,0.50249,0.30185,1.69178,2.11862,0.02911,0.07459,0.0008416,0.0008416,0.0008416
50,189.937,1.2275,1.07255,0.05627,0.08106,0.64566,0.49223,0.50754,0.2958,1.72947,2.14838,0.02773,0.08334,0.0008383,0.0008383,0.0008383
51,193.139,1.26016,1.10612,0.05838,0.08236,0.7148,0.44746,0.49383,0.29089,1.72014,2.19438,0.02936,0.08549,0.000835,0.000835,0.000835
52,196.379,1.26119,1.16487,0.05874,0.08123,0.51978,0.46899,0.47847,0.28446,1.66772,2.27977,0.02788,0.07441,0.0008317,0.0008317,0.0008317
53,199.802,1.21532,1.07657,0.05755,0.07701,0.57909,0.4288,0.48798,0.2807,1.6623,2.30169,0.02835,0.06935,0.0008284,0.0008284,0.0008284
54,203.135,1.23809,1.12201,0.06123,0.08181,0.45208,0.54251,0.47146,0.29112,1.54764,2.27207,0.02672,0.07007,0.0008251,0.0008251,0.0008251
55,206.302,1.24576,1.13604,0.05962,0.08221,0.83301,0.40403,0.53723,0.31467,1.59243,2.15682,0.02652,0.07378,0.0008218,0.0008218,0.0008218
56,209.608,1.23963,1.10059,0.05924,0.08406,0.63049,0.58577,0.54981,0.332,1.58726,2.0711,0.02626,0.0769,0.0008185,0.0008185,0.0008185
57,212.826,1.21074,1.03495,0.05975,0.08188,0.59599,0.56292,0.55037,0.32413,1.65164,1.98248,0.0262,0.08221,0.0008152,0.0008152,0.0008152
58,216.138,1.20354,1.08959,0.06426,0.07861,0.71472,0.49647,0.54185,0.32412,1.59154,2.02623,0.02646,0.06595,0.0008119,0.0008119,0.0008119
59,219.676,1.16213,1.03299,0.05826,0.06673,0.77111,0.46688,0.53287,0.32529,1.55942,2.12835,0.02623,0.06303,0.0008086,0.0008086,0.0008086
60,222.984,1.19354,1.0563,0.06231,0.07639,0.75005,0.45318,0.51499,0.3237,1.58301,2.03605,0.02603,0.0614,0.0008053,0.0008053,0.0008053
61,226.254,1.19458,1.02639,0.05484,0.07478,0.92143,0.43289,0.53343,0.3368,1.6124,1.99588,0.02631,0.06418,0.000802,0.000802,0.000802
62,229.44,1.20059,1.06773,0.06142,0.06534,0.85542,0.41529,0.51306,0.30238,1.65079,2.09157,0.02787,0.06469,0.0007987,0.0007987,0.0007987
63,232.746,1.16737,1.00374,0.06043,0.06829,0.71088,0.45757,0.50817,0.28536,1.68021,2.23036,0.02828,0.06975,0.0007954,0.0007954,0.0007954
64,235.998,1.17951,0.99689,0.05826,0.0701,0.66303,0.50081,0.51988,0.28931,1.68785,2.19526,0.02776,0.07508,0.0007921,0.0007921,0.0007921
65,239.244,1.18415,0.99971,0.05883,0.07492,0.63985,0.55478,0.53075,0.29528,1.62998,2.19631,0.02647,0.08008,0.0007888,0.0007888,0.0007888
66,242.581,1.20968,0.98362,0.05548,0.0756,0.82442,0.43733,0.53241,0.29814,1.61308,2.22233,0.02696,0.08155,0.0007855,0.0007855,0.0007855
67,245.869,1.14411,0.99017,0.05758,0.06845,0.74366,0.40119,0.53081,0.31755,1.62446,2.28579,0.02575,0.08421,0.0007822,0.0007822,0.0007822
68,249.144,1.17408,0.9933,0.05618,0.07733,0.84434,0.4152,0.51664,0.31234,1.60609,2.2949,0.02438,0.08228,0.0007789,0.0007789,0.0007789
69,252.334,1.19342,0.98596,0.05476,0.0757,0.67439,0.41126,0.5044,0.29064,1.61038,2.34359,0.02457,0.08202,0.0007756,0.0007756,0.0007756
70,255.638,1.14983,0.97414,0.06115,0.07592,0.52664,0.53122,0.51593,0.2922,1.64791,2.33153,0.02653,0.08437,0.0007723,0.0007723,0.0007723
71,258.856,1.23251,1.02978,0.05976,0.06741,0.65491,0.45297,0.53042,0.30306,1.65342,2.32514,0.02645,0.08661,0.000769,0.000769,0.000769
72,262.387,1.17255,1.00029,0.06349,0.07139,0.56325,0.49141,0.49963,0.2772,1.68079,2.33817,0.02688,0.08026,0.0007657,0.0007657,0.0007657
73,265.581,1.1445,0.97725,0.0582,0.06433,0.55882,0.47704,0.50536,0.2825,1.69891,2.2202,0.02657,0.07836,0.0007624,0.0007624,0.0007624
74,268.905,1.17142,0.98385,0.05873,0.07327,0.54057,0.53028,0.51705,0.3165,1.63056,2.14704,0.02506,0.07558,0.0007591,0.0007591,0.0007591
75,272.181,1.17354,0.98782,0.05866,0.0658,0.57713,0.492,0.49091,0.30071,1.6235,2.13231,0.02425,0.08292,0.0007558,0.0007558,0.0007558
76,275.443,1.14523,0.98051,0.05716,0.06748,0.61557,0.45151,0.49074,0.31067,1.60222,2.25278,0.02389,0.09039,0.0007525,0.0007525,0.0007525
77,278.584,1.11664,0.93792,0.05377,0.06753,0.62777,0.49057,0.49489,0.30848,1.58423,2.32309,0.02475,0.08912,0.0007492,0.0007492,0.0007492
78,282.058,1.09109,0.93155,0.05827,0.05986,0.87352,0.45239,0.49489,0.30718,1.62516,2.29357,0.02437,0.08975,0.0007459,0.0007459,0.0007459
79,285.361,1.18592,1.04553,0.05878,0.06687,0.62726,0.47892,0.51613,0.32389,1.64772,2.21908,0.02579,0.09317,0.0007426,0.0007426,0.0007426
80,288.552,1.1361,0.97071,0.06232,0.0647,0.82641,0.44237,0.53619,0.31766,1.61372,2.16027,0.02565,0.09527,0.0007393,0.0007393,0.0007393
81,291.833,1.17906,1.01612,0.06007,0.06479,0.87058,0.45097,0.4979,0.31573,1.59768,2.16344,0.02575,0.0927,0.000736,0.000736,0.000736
82,295.053,1.14113,0.96404,0.05721,0.07146,0.62828,0.51574,0.52215,0.3253,1.58969,2.20696,0.02529,0.09164,0.0007327,0.0007327,0.0007327
83,298.361,1.1323,0.96912,0.05744,0.0686,0.63495,0.44615,0.53097,0.33577,1.6186,2.26833,0.02441,0.08587,0.0007294,0.0007294,0.0007294
84,301.756,1.14573,0.91852,0.05942,0.06279,0.86452,0.41261,0.52315,0.32462,1.66106,2.44124,0.02639,0.07922,0.0007261,0.0007261,0.0007261
85,304.995,1.14789,0.95717,0.05753,0.07654,0.62948,0.49647,0.50224,0.30782,1.60254,2.52097,0.02511,0.07512,0.0007228,0.0007228,0.0007228
86,308.266,1.14018,0.97988,0.05865,0.06088,0.62899,0.46341,0.49219,0.309,1.57864,2.40055,0.02457,0.07002,0.0007195,0.0007195,0.0007195
87,311.496,1.13093,0.93111,0.0636,0.06803,0.6538,0.47166,0.50805,0.32562,1.56793,2.29633,0.0237,0.07021,0.0007162,0.0007162,0.0007162
88,314.838,1.12708,0.98487,0.06042,0.06567,0.62745,0.50448,0.54656,0.34125,1.57988,2.14161,0.02392,0.07228,0.0007129,0.0007129,0.0007129
89,318.041,1.06686,0.91333,0.05895,0.06126,0.81021,0.45809,0.54024,0.33817,1.57818,2.11022,0.02438,0.07239,0.0007096,0.0007096,0.0007096
90,321.566,1.12483,0.92646,0.05784,0.06776,0.69041,0.56176,0.54398,0.34118,1.57914,2.04534,0.02504,0.07113,0.0007063,0.0007063,0.0007063
91,324.811,1.11109,0.93813,0.05976,0.05543,0.71289,0.49647,0.54135,0.35034,1.51431,2.04396,0.02361,0.06617,0.000703,0.000703,0.000703
92,328.174,1.1238,0.95676,0.06057,0.06057,0.80956,0.52369,0.59302,0.38276,1.46885,2.00008,0.02358,0.06477,0.0006997,0.0006997,0.0006997
93,331.385,1.11138,0.88987,0.05624,0.06188,0.67963,0.54866,0.5997,0.37929,1.5349,1.95401,0.0253,0.06491,0.0006964,0.0006964,0.0006964
