epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
73,1107.01,0.96575,0.66919,0.0241,0.05577,0.82462,0.71954,0.77331,0.53449,1.30424,1.21507,0.03606,0.10766,0.0007624,0.0007624,0.0007624
74,1121.86,0.94129,0.67206,0.02192,0.05702,0.78774,0.73667,0.75174,0.50866,1.3098,1.32059,0.03725,0.10544,0.0007591,0.0007591,0.0007591
75,1136.67,0.93346,0.61027,0.02188,0.05163,0.79422,0.72552,0.78218,0.54289,1.2795,1.18288,0.0367,0.11211,0.0007558,0.0007558,0.0007558
76,1151.44,0.94539,0.63569,0.02204,0.05665,0.858,0.66456,0.77924,0.52231,1.28398,1.34913,0.03745,0.1094,0.0007525,0.0007525,0.0007525
77,1166.21,0.91286,0.61422,0.02333,0.05573,0.72412,0.73118,0.74077,0.50077,1.33032,1.45071,0.03651,0.1193,0.0007492,0.0007492,0.0007492
78,1181.01,0.94084,0.66077,0.02343,0.05048,0.77769,0.69069,0.72591,0.51418,1.23291,1.51891,0.03656,0.1237,0.0007459,0.0007459,0.0007459
79,1195.82,0.92781,0.67523,0.02318,0.05577,0.74525,0.68769,0.72415,0.51333,1.26151,1.34472,0.03622,0.11283,0.0007426,0.0007426,0.0007426
80,1210.63,0.91027,0.63485,0.02245,0.05041,0.74925,0.74857,0.74905,0.5617,1.20257,1.28516,0.03449,0.12243,0.0007393,0.0007393,0.0007393
81,1225.74,0.91555,0.63641,0.02295,0.05276,0.84762,0.70166,0.76901,0.56058,1.21662,1.21069,0.03629,0.105,0.000736,0.000736,0.000736
82,1240.57,0.91233,0.61492,0.02291,0.05291,0.84062,0.65031,0.71823,0.51303,1.25395,1.48438,0.0345,0.1205,0.0007327,0.0007327,0.0007327
83,1255.43,0.90651,0.61891,0.02262,0.051,0.8125,0.65052,0.71274,0.49808,1.2559,1.46253,0.03674,0.12711,0.0007294,0.0007294,0.0007294
